SKU,Quantity,URL,Thumbnail Image,Name,RoHS Compliance,Price (USD)
COM-10747,2,https://www.sparkfun.com/products/10747,https://cdn.sparkfun.com/r/92-92/assets/parts/5/6/6/3/10747-01b.jpg,PowerSwitch Tail II,1,28.95
SEN-13959,2,https://www.sparkfun.com/products/13959,https://cdn.sparkfun.com/r/92-92/assets/parts/1/1/6/6/8/13959-01a.jpg,Ultrasonic Sensor - HC-SR04,1,3.95
SEN-08958,1,https://www.sparkfun.com/products/8958,https://cdn.sparkfun.com/r/92-92/assets/parts/2/2/6/0/08958-03-L.jpg,Infrared Proximity Sensor Long Range - Sharp GP2Y0A02YK0F,1,14.95
SEN-08733,1,https://www.sparkfun.com/products/8733,https://cdn.sparkfun.com/r/92-92/assets/parts/1/9/2/0/08733-03-L.jpg,Infrared Sensor Jumper Wire - 3-Pin JST,1,1.5
SEN-13835,2,https://www.sparkfun.com/products/13835,https://cdn.sparkfun.com/r/92-92/assets/parts/1/1/4/3/5/13835-01.jpg,SST Liquid Level Sensor,1,24.95
ROB-13845,1,https://www.sparkfun.com/products/13845,https://cdn.sparkfun.com/r/92-92/assets/parts/1/1/4/5/1/13845-02.jpg,SparkFun Motor Driver - Dual TB6612FNG (with Headers),1,5.45
ROB-13047,1,https://www.sparkfun.com/products/13047,https://cdn.sparkfun.com/r/92-92/assets/parts/1/0/0/6/5/Actobotics_Kit-03.jpg,Actobotics Kit - ActoBitty 2,1,29.95
COM-10747,2,https://www.sparkfun.com/products/10747,https://cdn.sparkfun.com/r/92-92/assets/parts/5/6/6/3/10747-01b.jpg,PowerSwitch Tail II,1,28.95
SEN-13959,2,https://www.sparkfun.com/products/13959,https://cdn.sparkfun.com/r/92-92/assets/parts/1/1/6/6/8/13959-01a.jpg,Ultrasonic Sensor - HC-SR04,1,3.95
SEN-08958,1,https://www.sparkfun.com/products/8958,https://cdn.sparkfun.com/r/92-92/assets/parts/2/2/6/0/08958-03-L.jpg,Infrared Proximity Sensor Long Range - Sharp GP2Y0A02YK0F,1,14.95
SEN-08733,1,https://www.sparkfun.com/products/8733,https://cdn.sparkfun.com/r/92-92/assets/parts/1/9/2/0/08733-03-L.jpg,Infrared Sensor Jumper Wire - 3-Pin JST,1,1.5
SEN-12756,5,https://www.sparkfun.com/products/12756,,SparkFun Triple Axis Accelerometer Breakout - MMA8452Q,,
COM-09312,5,https://www.sparkfun.com/products/9312,,Hall Effect Sensor - US1881,,
SEN-10289,5,https://www.sparkfun.com/products/10289,,Tilt Sensor - AT407,,
SEN-10293,5,https://www.sparkfun.com/products/10293,,Piezo Element,,
COM-08642,10,https://www.sparkfun.com/products/8642,,Reed Switch,,
SEN-10266,10,https://www.sparkfun.com/products/10266,,IR Receiver Diode - TSOP38238,,
COM-09349,10,https://www.sparkfun.com/products/9349,,LED - Infrared 950nm,,
SEN-10988,20,https://www.sparkfun.com/products/10988,,Temperature Sensor - TMP36,,
COM-09806,20,https://www.sparkfun.com/products/9806,,Trimpot 10K with Knob,,
COM-08643,10,https://www.sparkfun.com/products/8643,,Magnet Square - 0.25,,
SEN-09375,10,https://www.sparkfun.com/products/9375,,Force Sensitive Resistor 0.5,,
SEN-09088,25,https://www.sparkfun.com/products/9088,,Mini Photocell,,
SEN-08606,10,https://www.sparkfun.com/products/8606,,Flex Sensor 4.5,,
COM-07950,20,https://www.sparkfun.com/products/7950,,Mini Speaker - PC Mount 12mm 2.048kHz,,
COM-11853,5,https://www.sparkfun.com/products/11853,,Resistor 1.0M Ohm 1/4 Watt PTH,,
DEV-13825,5,https://www.sparkfun.com/products/13825,,Raspberry Pi 3,,
BOB-13717,5,https://www.sparkfun.com/products/13717,,SparkFun Pi Wedge (Preassembled),,
DEV-09873,5,https://www.sparkfun.com/products/9873,,SparkFun FTDI Basic Breakout - 3.3V,,
PRT-12615,5,https://www.sparkfun.com/products/12615,,Breadboard - Full-Size (Bare),,
PRT-13102,5,https://www.sparkfun.com/products/13102,,Pi Tin for the Raspberry Pi - Black,,
COM-13833,5,https://www.sparkfun.com/products/13833,,microSD Card with Adapter - 16GB (Class 10),,
COM-13004,5,https://www.sparkfun.com/products/13004,,microSD USB Reader,,
COM-12062,400,https://www.sparkfun.com/products/12062,,LED,,
COM-11507,100,https://www.sparkfun.com/products/11507,,Resistor,,
CAB-13028,5,https://www.sparkfun.com/products/13028,,Raspberry Pi GPIO Ribbon Cable - 40-pin, 6 (RPi 3, RPi2, B+),,
CAB-11301,5,https://www.sparkfun.com/products/11301,,SparkFun USB Mini-B Cable - 6 Foot,,
TOL-13831,5,https://www.sparkfun.com/products/13831,,Wall Adapter Power Supply - 5.25V DC 2.4A (USB Micro-B),,
PRT-09140,50,https://www.sparkfun.com/products/9140,,Jumper Wire M/F,,
PRT-11026,600,https://www.sparkfun.com/products/11026,,Jumper Wire M/M,,
SEN-09197,5,https://www.sparkfun.com/products/9197,,Piezo Vibration Sensor - Large with Mass,,
SEN-13285,5,https://www.sparkfun.com/products/13285,,PIR Motion Sensor (JST),,
SEN-00246,5,https://www.sparkfun.com/products/246,,Optical Detector / Phototransistor - QRD1114,,
SEN-11084,5,https://www.sparkfun.com/products/11084,,SparkFun Altitude/Pressure Sensor Breakout - MPL3115A2,,
SEN-08680,20,https://www.sparkfun.com/products/8680,,SoftPot Membrane Potentiometer - 50mm,,
SEN-13284,5,https://www.sparkfun.com/products/13284,,SparkFun 9DoF IMU Breakout - LSM9DS1,,
SEN-12787,5,https://www.sparkfun.com/products/12787,,SparkFun RGB and Gesture Sensor - APDS-9960,,
SEN-13763,5,https://www.sparkfun.com/products/13763,,SparkFun Humidity and Temperature Sensor Breakout - Si7021,,
SEN-13322,5,https://www.sparkfun.com/products/13322,,SparkFun Soil Moisture Sensor,,
SEN-12041,5,https://www.sparkfun.com/products/12041,,SparkFun Capacitive Touch Breakout - AT42QT1010,,
SEN-12642,5,https://www.sparkfun.com/products/12642,,SparkFun Sound Detector,,
COM-11508,400,https://www.sparkfun.com/products/11508,,Resistor 10K Ohm 1/6th Watt,,
COM-11853,5,https://www.sparkfun.com/products/11853,,Resistor 1.0M Ohm 1/4 Watt,,
COM-11507,400,https://www.sparkfun.com/products/11507,,Resistor 330 Ohm 1/6 Watt,,
DEV-11224,15,https://www.sparkfun.com/products/11224,,Arduino Uno - R3 SMD,,
DEV-1123,15,https://www.sparkfun.com/products/11235,,Arduino and Breadboard Holder,,
PRT-12002,15,https://www.sparkfun.com/products/12002,,Breadboard - Self-Adhesive (White),,
TOL-09146,15,https://www.sparkfun.com/products/9146,,SparkFun Mini Screwdriver,,
LCD-00709,15,https://www.sparkfun.com/products/709,,Basic 16x2 Character LCD - White on Black 5V,,
COM-13699,15,https://www.sparkfun.com/products/13699,,Shift Register 8-Bit - SN74HC595,,
COM-13689,15,https://www.sparkfun.com/products/13689,,Transistor - NPN (BC337),,
COM-08588,15,https://www.sparkfun.com/products/8588,,Diode Small Signal - 1N4148,,
ROB-11696,15,https://www.sparkfun.com/products/11696,,Hobby Motor - Gear,,
ROB-09065,15,https://www.sparkfun.com/products/9065,,Servo - Generic (Sub-Micro Size),,
COM-00100,15,https://www.sparkfun.com/products/100,,Relay SPDT Sealed,,
SEN-10264,15,https://www.sparkfun.com/products/10264,,Flex Sensor 2.2,,
CAB-00512,15,https://www.sparkfun.com/products/512,,USB Cable A to B - 6 Foot,,
COM-00105,15,https://www.sparkfun.com/products/105,,LED - RGB Clear Common Cathode,,
